URL,Type,Status
https://sardarawais.com,Static Page,200
https://sardarawais.com/projects,Static Page,200
https://sardarawais.com/services,Static Page,200
https://sardarawais.com/case-studies,Static Page,200
https://sardarawais.com/about,Static Page,200
https://sardarawais.com/skills,Static Page,200
https://sardarawais.com/contact,Static Page,200
https://sardarawais.com/blog,Static Page,200
https://sardarawais.com/tools,Static Page,200
https://sardarawais.com/resume,Static Page,200
https://sardarawais.com/projects/vapi-dental-crew,Project,200
https://sardarawais.com/projects/watches-luxury,Project,200
https://sardarawais.com/projects/mycopack-website,Project,200
https://sardarawais.com/projects/caterman-platform,Project,200
https://sardarawais.com/projects/finch-newsletter-system,Project,200
https://sardarawais.com/projects/edunova-platform,Project,200
https://sardarawais.com/projects/microrate-site,Project,200
https://sardarawais.com/projects/love-chat-pay,Project,200
https://sardarawais.com/projects/journey-jolly-ai,Project,200
https://sardarawais.com/projects/meal-route-master,Project,200
https://sardarawais.com/projects/paragraph-painter,Project,200
https://sardarawais.com/projects/zameen-clone,Project,200
https://sardarawais.com/projects/eduflow-suite,Project,200
https://sardarawais.com/projects/ai-quran-guidance-engine,Project,200
https://sardarawais.com/projects/ai-video-generator,Project,200
https://sardarawais.com/projects/voiceover-generator,Project,200
https://sardarawais.com/projects/pdf-master,Project,200
https://sardarawais.com/projects/claude-content-creation-agent,Project,200
https://sardarawais.com/projects/deepseek-reasoning-chatbot,Project,200
https://sardarawais.com/projects/progress-partner-ai,Project,200
https://sardarawais.com/projects/spark-ai-factory,Project,200
https://sardarawais.com/projects/ecommerce-ai-agent-system,Project,200
https://sardarawais.com/projects/crewai-housing-agents,Project,200
https://sardarawais.com/projects/multi-agent-math-tutor,Project,200
https://sardarawais.com/projects/autocomply-ai,Project,200
https://sardarawais.com/projects/ollama-angular-analyzer,Project,200
https://sardarawais.com/projects/ai-video-translator,Project,200
https://sardarawais.com/projects/lovable-dev-alternative,Project,200
https://sardarawais.com/projects/vapi-dental-clinic-system,Project,200
https://sardarawais.com/projects/calligent-voice-agent,Project,200
https://sardarawais.com/projects/8-voice-agents-suite,Project,200
https://sardarawais.com/projects/celebrity-voice-bot,Project,200
https://sardarawais.com/projects/voiceai-realtime-assistant,Project,200
https://sardarawais.com/projects/private-ai-voice-assistant,Project,200
https://sardarawais.com/projects/composable-commerce-engine,Project,200
https://sardarawais.com/projects/shopify-erpnext-integration,Project,200
https://sardarawais.com/projects/luxe-woocommerce-theme,Project,200
https://sardarawais.com/projects/shopify-complete-store-theme,Project,200
https://sardarawais.com/projects/nowacash-payment-gateway,Project,200
https://sardarawais.com/projects/prestashop-store-customization,Project,200
https://sardarawais.com/projects/kbc-luxury-beauty-store,Project,200
https://sardarawais.com/projects/amazonspy-pro,Project,200
https://sardarawais.com/projects/ableconnect-ghana,Project,200
https://sardarawais.com/projects/btc-polymarket-trading-bot,Project,200
https://sardarawais.com/projects/staple-payment-bot,Project,200
https://sardarawais.com/projects/signal-command-center,Project,200
https://sardarawais.com/projects/trendspark-autopilot,Project,200
https://sardarawais.com/projects/whatsapp-automation-suite,Project,200
https://sardarawais.com/projects/deepseek-twitter-agent,Project,200
https://sardarawais.com/projects/leadconnectpro,Project,200
https://sardarawais.com/projects/video-translator-extension,Project,200
https://sardarawais.com/projects/user-friendly-docs-generator,Project,200
https://sardarawais.com/projects/twinvision-wordpress-theme,Project,200
https://sardarawais.com/projects/volumetric-homepage-shortcode,Project,200
https://sardarawais.com/projects/custom-wordpress-theme,Project,200
https://sardarawais.com/projects/autoexec-mind,Project,200
https://sardarawais.com/projects/gadgetverse,Project,200
https://sardarawais.com/projects/vibe-prospecting,Project,200
https://sardarawais.com/projects/investoriq,Project,200
https://sardarawais.com/projects/prospectai,Project,200
https://sardarawais.com/projects/wazuh-siem-deployment,Project,200
https://sardarawais.com/projects/eliza-ai-framework,Project,200
https://sardarawais.com/projects/aideal-finder-android,Project,200
https://sardarawais.com/projects/free-ai-video-generator,Project,200
https://sardarawais.com/case-studies/mcp-server-ecommerce-api,Case Study,200
https://sardarawais.com/case-studies/mcp-server-crm-integration,Case Study,200
https://sardarawais.com/case-studies/mcp-server-database-querying,Case Study,200
https://sardarawais.com/case-studies/mcp-server-internal-tools,Case Study,200
https://sardarawais.com/case-studies/mcp-server-document-management,Case Study,200
https://sardarawais.com/case-studies/dental-clinic-voice-agent,Case Study,200
https://sardarawais.com/case-studies/real-estate-voice-agent,Case Study,200
https://sardarawais.com/case-studies/restaurant-booking-agent,Case Study,200
https://sardarawais.com/case-studies/customer-support-voice-agent,Case Study,200
https://sardarawais.com/case-studies/appointment-scheduling-agent,Case Study,200
https://sardarawais.com/case-studies/legal-document-chatbot,Case Study,200
https://sardarawais.com/case-studies/medical-knowledge-base,Case Study,200
